date,vaccinated_daily,vaccinated_total
2021-02-18,2260,2260
2021-02-19,4264,6524
2021-02-20,3890,10414
2021-02-21,4974,15388
2021-02-22,7671,23059
2021-02-23,9256,32315
2021-02-24,9494,41809
2021-02-25,10838,52647
2021-02-26,11001,63648
2021-02-27,3655,67303
2021-02-28,3224,70527
2021-03-01,2520,73047
2021-03-02,2990,76037
2021-03-03,7533,83570
2021-03-04,8459,92029
2021-03-05,8151,100180
2021-03-06,1393,101573
2021-03-07,268,101841
2021-03-08,5213,107054
2021-03-09,11193,118247
2021-03-10,10640,128887
2021-03-11,9127,138014
2021-03-12,7201,145215
2021-03-13,329,145544
2021-03-14,0,145544
2021-03-15,2209,147753
2021-03-16,9533,157286
2021-03-17,11127,168413
2021-03-18,8862,177275
2021-03-19,5708,182983
2021-03-20,0,182983
2021-03-21,0,182983
2021-03-22,0,182983
2021-03-23,11274,194257
2021-03-24,13551,207808
2021-03-25,12321,220129
2021-03-26,10873,231002
2021-03-27,603,231605
2021-03-28,0,231605
2021-03-29,8060,239665
2021-03-30,12042,251707
2021-03-31,12171,263878
2021-04-01,5224,269102
2021-04-02,0,269102
2021-04-03,0,269102
2021-04-04,0,269102
2021-04-05,0,269102
2021-04-06,3336,272438
2021-04-07,6471,278909
2021-04-08,4720,283629
2021-04-09,4739,288368
2021-04-10,38,288406
2021-04-11,0,288406
2021-04-12,1381,289787
2021-04-13,2836,292623
2021-04-14,0,292623
2021-04-15,0,292623
2021-04-16,0,292623
2021-04-17,0,292623
2021-04-18,0,292623
2021-04-19,0,292623
2021-04-20,0,292623
2021-04-21,0,292623
2021-04-22,0,292623
2021-04-23,0,292623
2021-04-24,0,292623
2021-04-25,0,292623
2021-04-26,0,292623
2021-04-27,0,292623
2021-04-28,5530,298153
2021-04-29,9438,307591
2021-04-30,10065,317656
2021-05-01,1014,318670
2021-05-02,0,318670
2021-05-03,10428,329098
2021-05-04,10557,339655
2021-05-05,13526,353181
2021-05-06,12920,366101
2021-05-07,15070,381171
2021-05-08,1309,382480
2021-05-09,0,382480
2021-05-10,12750,395230
2021-05-11,19142,414372
2021-05-12,16358,430730
2021-05-13,24439,455169
2021-05-14,19149,474318
2021-05-15,6347,480665
2021-05-16,0,480665
2021-05-17,0,480665
2021-05-18,39371,520036
2021-05-19,38134,558170
2021-05-20,39236,597406
